Name,Operator,Type,Status,Completed,Year,State,Region,Cost,Miles,Capacity,Diameter,Pipeline,Authority,Docket
Fitchburg Expansion Project,Tennessee Gas Pipeline Co,Expansion,Completed,8/28/09,2009,MA,Northeast,23,5.15,12.3, 12 , Interstate ,FERC,CP08-63
Monroe Storage Field TCP Lateral,Monroe Gas Storage Co. LLC,Lateral,Completed,8/1/09,2009,MS,Southeast, 42 , 23 , 465 ,24,Interstate,FERC,CP07-406
Tenneco Carthage Lateral Expansion,Tennessee Gas Pipeline Co,Lateral,Completed,6/1/09,2009,"TX,LA",Southwest,42,1.1,100, 12 , Interstate ,FERC,CP08-27
Tenneco Concord Lateral Expansion,Tennessee Gas Pipeline Co,Expansion,Completed,10/30/09,2009,NH,Northeast,20.4,,30,, Interstate ,FERC,CP08-65
Northern Border Des Plaines Project,Northern Border Pipeline,Expansion,Completed,3/5/09,2009,"IL,IA","Midwest,Central", 17 ,,,,Interstate,FERC,CP08-72
TW Phoenix Lateral Project,Transwestern Pipeline Co,Expansion,Completed,2/20/09,2009,AZ,Western, 957 , 284 , 500 ,"42,36,24",Interstate,FERC,CP06-459
WIG Piceance Expansion Phase 2,Wyoming Interstate Gas Co,Expansion,Completed,9/30/09,2009,CO,Central,42,45.6,179.5,, Interstate ,FERC,CP08-403
ET Cleburne to Tolar Extension,Energy Transfer Co,Expansion,Completed,1/15/09,2009,TX,Southwest,45,20,400, 30 , Intrastate ,State,na
Algonquin J-2 Loop,Algonquin Gas Transmission,Expansion,Completed,9/2/09,2009,MA,Northeast,34.5,2.3,140, 14 , Interstate ,FERC,CP08-256
TGT Midland Storage Lateral Exp,Texas Gas Transmission,Lateral,Completed,10/1/09,2009,KY,Southeast, 6 , 11 , 92 ,30,Interstate,FERC,CP07-405
Transco Sentinel Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Completed,11/1/09,2009,"PA,NJ",Northeast, 229 , 14 , 102 ,42,Interstate,FERC,CP08-31
CEGT Tontitown Project,Centerpoint Energy Gas Transmission,New Pipeline,Completed,1/8/09,2009,"OK,AR",Southwest, 52 , 16 , 132 ,24,Interstate,FERC,CP08-69
MarkWest Arkoma Connector Pipeline Project,MarkWest Pioneer LLC,Lateral,Completed,7/14/09,2009,OK,Southwest, 75 , 50 , 638 ,24,Interstate,FERC,CP08-404
Enterprise Sherman Extension,Enterprise Products Partners,New Pipeline,Completed,3/23/09,2009,TX,Southwest, 522 , 174 , 950 ,"36,30",Intrastate,State,na
TGT Greenville Lateral,Texas Gas Transmission,New Pipeline,Completed,3/27/09,2009,MS,Southeast,373.4,96.4,768, 36 , Interstate ,FERC,CP07-417
Hi Fields Lateral,Southeast Supply Header LLC,Lateral,Completed,1/11/09,2009,"AL,MS",Southeast,22.5,11,175, 16 , Interstate ,FERC,CP07-44
UNH Landfill gas-to-energy project,University New Hampshire,New Pipeline,Completed,4/15/09,2009,NH,Northeast,15,12.7,26, 12 , Intrastate ,State,na
TGT Fayetteville Lateral Phase 2,Texas Gas Transmission,New Pipeline,Completed,3/27/09,2009,"AR,MS","Southwest,Southeast", 671 , 166 , 967 ,36,Interstate,FERC,CP07-417
Viking Fargo Lateral Expansion,Viking Gas Transmission Co,Expansion,Completed,10/1/09,2009,"MN,ND","Midwest,Central", 15 , 10 , 38 ,12,Interstate,FERC,CP09-69
ET Katy Pipeline Expansion,Energy Transfer Co,Expansion,Completed,2/6/09,2009,TX,Southwest, 165 , 56 , 400 ,36,Intrastate,State,na
Hampton Roads Crossing (HRX),Virginia natural Gas Co,Expansion,Completed,12/1/09,2009,VA,Northeast,146,21,100, 16 , Intrastate ,State,na
Iroquois 08/09 Expansion Phase 3,Iroquois Pipeline Co,Expansion,Completed,11/1/09,2009,NY,Northeast,24.1,,25, 16 , Interstate ,FERC,CP07-457
TETCO Northern Bridge Project,Texas Eastern Transmission,Expansion,Completed,10/26/09,2009,"OH,WV,PA",Northeast, 45 ,, 150 ,,Interstate,FERC,CP08-100
Iroquois 08/09 Expansion Phase 1,Iroquois Pipeline Co,Expansion,Completed,11/15/08,2008,"NY,CT",Northeast, 58 , 2 , 95 ,36,Interstate,FERC,CP07-457
Iroquois Market Access Project,Iroquois Pipeline Co,Expansion,Completed,11/5/08,2008,"CT,NY",Northeast,41.6,,100,, Interstate ,FERC,CP02-31
KM 2008 Grand Island Expansion,Kinder Morgan Energy Partners,Expansion,Completed,11/7/08,2008,NE,Central,23,26,22," 16,12 ", Interstate ,FERC,na
WB East/West Mondak Subsystem Expansion,Williston Basin Interstate PL,Expansion,Completed,11/1/08,2008,"WY,ND",Central,7.3,,40.8,, Interstate ,FERC,CP08-154
Stagecoach North Lateral,Central New York Oil & Gas,Lateral,Completed,12/1/08,2008,NY,Northeast,16,9,400, 24 , Interstate ,FERC,CP06-64
KM Rockies Express (REX-West),Rockies Express Pipeline,New Pipeline,Completed,4/15/08,2008,"CO,NE,KS,MO",Central,1930,718,1500," 42,24 ", Interstate ,FERC,CP06-354
KM Tejas/Texas Pipeline Link,Kinder Morgan Energy Partners,New Pipeline,Completed,9/15/08,2008,TX,Southwest, 72 , 58 , 225 ,24,Intrastate,State,na
We Hartford/Westend Lateral,We Energies Inc,Lateral,Completed,11/20/08,2008,WI,Midwest, 14 , 13 , 50 ,8,Intrastate,State,na
CEGT Perryville Expansion Phase 3,Centerpoint Energy Gas Transmission,Expansion,Completed,5/2/08,2008,"TX,LA",Southwest, 41 ,, 316 ,,Interstate,FERC,CP07-41
MIGC Southern (Python) Expansion,MIGC Inc.,Expansion,Completed,2/15/08,2008,WY,Central, 4 ,, 45 ,,Interstate,FERC,CP07-178
We Fox Valley Lateral,We Energies Inc,Lateral,Completed,11/20/08,2008,WI,Midwest, 15 , 13 , 100 ,"20,16,12",Intrastate,State,na
Millennium Pipeline 2008,Millennium Pipeline,New Pipeline,Completed,12/22/08,2008,NY,Northeast, 664 , 182 , 525 ,"30,24,14",Interstate,FERC,CP98-150
Mississippi Hub Storage Phase 1,Mississippi Hub LLC,Lateral,Completed,12/15/08,2008,MS,Southeast,, 11 ," 1,200 ",36,Interstate,FERC,CP07-4
CEGT Cove Compressor Station Project,Centerpoint Energy Gas Transmission,Expansion,Completed,11/1/08,2008,AR,Southwest, 26 ,, 200 ,,Interstate,FERC,CP07-437
Tres Palacios Storage Lateral,NGS Investments LLC,Lateral,Completed,10/1/08,2008,TX,Southwest, 60 , 42 ," 2,500 ",36,Interstate,FERC,CP07-90
Neptune LNG Lateral,Neptune LNG LLC,Lateral,Completed,10/15/08,2008,MA,Northeast, 23 , 13 , 750 ,24,Interstate,Coast Guard,na
NGPL Louisiana/Gulf Coast Line Expansion,Nat Gas P L Co of America,Expansion,Completed,2/14/08,2008,"TX,LA",Southwest, 69 , 5 , 200 ,36,Interstate,FERC,CP07-03
Monroe Storage Field TETCO Lateral,Monroe Gas Storage Co. LLC,Lateral,Completed,12/15/08,2008,MS,Southeast, 42 , 23 , 465 ,24,Interstate,FERC,CP07-406
NNG East Leg I Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/08,2008,IA,Central,6.89,8,12.5," 30,8,6 ", Interstate ,FERC,CP08-95
CEGT Replacement Project,Centerpoint Energy Gas Transmission,Expansion,Completed,3/1/08,2008,AR,Southwest,17.7,25,, 24 , Interstate ,FERC,CP07-404
El Paso Hobbs Lateral,El Paso Natural Gas,Lateral,Completed,11/26/08,2008,TX,Southwest,16.9,7.3,150, 20 , Interstate ,FERC,CP08-14
WIG Mainline Expansion,Wyoming Interstate Gas Co,Expansion,Completed,2/5/08,2008,WY,Central,22.2,,150,, Interstate ,FERC,CP07-14
WIG Medicine Bow 08 Expansion,Wyoming Interstate Gas Co,Expansion,Completed,10/29/08,2008,"WY,CO",Central,32,,330,, Interstate ,FERC,CP07-395
ET Southeast Boosier Pipeline Phase 2,Energy Transfer Co,Expansion,Completed,11/1/08,2008,TX,Southwest,70,,400, 24 , Intrastate ,State,na
ET Southeast Boosier Pipeline Phase 1,Energy Transfer Co,New Pipeline,Completed,4/28/08,2008,TX,Southwest,360,165,900," 42,24 ", Intrastate ,State,na
ET North side to Paris Loop,Energy Transfer Co,New Pipeline,Completed,8/1/08,2008,TX,Southwest,260,145,350," 36,30 ", Intrastate ,State,na
ET Maypearl to Malone,Energy Transfer Co,New Pipeline,Completed,8/1/08,2008,TX,Southwest,50,25,600, 36 , Intrastate ,State,na
Enbridge East Texas System Extension,Enbridge Energy Pipeline Co,Expansion,Completed,4/15/08,2008,TX,Southwest,465,190,700, 36 , Intrastate ,State,na
Empire/Millennium Expansion,Empire Pipeline,Expansion,Completed,12/15/08,2008,NY,Northeast,187,78,250, 24 , Interstate ,FERC,CP06-5/6/7
Cannon Falls NG Pipeline Project,Greater Minnesota Transmission,Lateral,Completed,4/15/08,2008,MN,Midwest,7.2,13,91.2, 16 , Intrastate ,State,na
El Paso Picacho Compressor Station Project,El Paso Natural Gas,Expansion,Completed,12/1/08,2008,AZ,Western,23.9,,30,, Interstate ,FERC,CP07-448
CGT East Lateral Ryane Expansion,Columbia Gas Transmission,Expansion,Completed,3/20/08,2008,LA,Southwest, 18 ,, 180 ,,Interstate,FERC,CP08-26
ET Carthage Loop Expansion,Energy Transfer Co,Expansion,Completed,9/10/08,2008,TX,Southwest, 94 , 32 , 500 ,42,Intrastate,State,na
El Paso Eunice Replacement Project,El Paso Natural Gas,Expansion,Completed,12/31/08,2008,NM,Southwest, 27 ,, 12 ,,Interstate,FERC,CP08-2
Dominion Cove Point PL 2008 Expansion,Dominion Cove Point LNG PL Co,Expansion,Completed,12/15/08,2008,"MD,VA",Northeast,159.8,47.8,800, 36 , Interstate ,FERC,CP05-132
Eastern Shore 2008 Expansion,Eastern Shore Natural Gas,Expansion,Completed,11/15/08,2008,"PA,MD,DE",Northeast, 8 , 9 , 11 ,16,Interstate,FERC,CP06-53
Dominion 2008 PA Expansion,Dominion Transmission,Expansion,Completed,11/1/08,2008,"PA,NY,MD,VA,WV,MD",Northeast, 175 , 113 , 700 ,"24,20,16",Interstate,FERC,CP05-131
CIG High Plains Project,Colorado Interstate Gas Co,New Pipeline,Completed,11/15/08,2008,CO,Central, 216 , 164 , 900 ,"30,24",Interstate,FERC,CP07-207
ETenn Patriot Extension III,East Tennessee Nat Gas Co,Lateral,Completed,10/15/08,2008,"VA,NC","Northeast,Southeast", 20 ,, 75 ,"24,20",Interstate,FERC,CP01-415
ETenn CNX Pressure Increase,East Tennessee Nat Gas Co,Expansion,Completed,9/1/08,2008,"VA,NC","Northeast,Southeast", 5 ,,90,,Interstate,FERC,CP08-35
Dominion TL-263 Expansion Project,Dominion Transmission,Expansion,Completed,11/1/08,2008,WV,Northeast, 15 , 6 , 21 ,"12,16",Interstate,FERC,CP07-10
WIG Piceance Expansion Phase 1,Wyoming Interstate Gas Co,Expansion,Completed,12/24/08,2008,CO,Central,45.6,,50,, Interstate ,FERC,CP08-403
WPSC Denmark Lateral,Wisconsin Public Service Corp,Lateral,Completed,11/1/08,2008,WI,Midwest,15,14,99.99, 12 , Intrastate ,State,na
Gulfstream Pipeline Phase 4 (Bartow),Gulfstream Natural Gas System,Expansion,Completed,12/1/08,2008,"AL,FL",Southeast,117,17.8,155, 20 , Interstate ,FERC,CP07-51
Gulfstream Pipeline Phase 3b,Gulfstream Natural Gas System,Lateral,Completed,8/21/08,2008,FL,Southeast,112.3,34.3,160, 30 , Interstate ,FERC,CP00-06-014
Gulfstream Pipeline Phase 3a,Gulfstream Natural Gas System,Lateral,Completed,9/1/08,2008,FL,Southeast,129,34.3,185, 30 , Interstate ,FERC,CP00-06-014
Sabine Pass LNG Line,Cheniere Creole Trail LLP,Expansion,Completed,4/28/08,2008,LA,Southwest,350,16,2000, 42 , Interstate ,FERC,CP07-426
Cheniere Southern Trail Pipeline,Cheniere Energy,New Pipeline,Completed,6/22/08,2008,"LA,MS,AL",Southwest, 583 , 135 ," 2,000 ","42,36",Interstate,FERC,CP05-357
GS Texas to Mississippi Expansion,Gulf South Pipeline,Expansion,Completed,6/2/08,2008,"LA,MS","Southwest,Southeast", 961 , 243 ," 1,700 ","42,36",Interstate,FERC,CP06-446
GS Southeast Expansion,Gulf South Pipeline,Expansion,Completed,6/1/08,2008,"MS,AL,AL",Southeast," 1,296 ", 111 ," 1,272 ",42,Interstate,FERC,CP07-32
GS Mobile Compressor Expansion,Gulf South Pipeline,Expansion,Completed,8/31/08,2008,AL,Southeast, 23 ,, 250 ,,Interstate,FERC,CP07-396
GS Gulf Crossing Mississippi Loop,Gulf South Pipeline,Expansion,Completed,12/29/08,2008,MS,Southeast, 25 , 18 ," 1,000 ",42,Interstate,FERC,CP07-401
Big Sandy Pipeline Phase I,Equitrans,New Pipeline,Completed,4/1/08,2008,KY,Southeast,60,68,70, 20 , Interstate ,FERC,CP06-275
WPSC Chilton Lateral,Wisconsin Public Service Corp,Lateral,Completed,11/1/08,2008,WI,Midwest,1,1,49.99, 4 , Intrastate ,State,na
CGT Henry Hub Expansion,Columbia Gas Transmission,Expansion,Completed,3/15/08,2008,LA,Southwest,25,,230,, Interstate ,FERC,na
Hoback Pipeline Energy Project,Lower Valley Energy Coop,New Pipeline,Completed,12/12/08,2008,WY,Central,20,49.75,5.81, 6 , Intrastate ,State,na
WPSC Sheboygan/Plymouth Lateral,Wisconsin Public Service Corp,Lateral,Completed,10/1/08,2008,WI,Midwest, 30 , 32 , 100 ,"16,12",Intrastate,State,na
Freeport LNG Pipeline,Freeport LNG Development LP,Expansion,Completed,4/1/08,2008,TX,Southwest, 18 , 10 ," 1,750 ",42,Interstate,FERC,CP03-75
Brazoria Interconnector Gas Pipeline,Freeport LNG Development LP,Expansion,Completed,4/1/08,2008,TX,Southwest,56,30,2600, 42 , Intrastate ,State,na
FGT East Leg Expansion,Florida Gas Trans Co,Lateral,Completed,7/1/08,2008,FL,Southeast, 16 , 7 ,10,30,Interstate,FERC,CP07-82
Big Sandy Pipeline Phase II,Equitrans,Lateral,Completed,4/1/08,2008,KY,Southeast, 20 ,,60,20,Interstate,FERC,CP06-275
KM Colorado Lateral Project,Kinder Morgan Energy Partners,Lateral,Completed,12/1/08,2008,CO,Central,30,41.4,74, 12 , Interstate ,FERC,CP07-430
CGT Line A-5 Replacement,Columbia Gas Transmission,Expansion,Completed,2/8/08,2008,NY,Northeast,,8.8,, 30 , Interstate ,FERC,CP98-151
WB Sheyenne Expansion Project,Williston Basin Interstate PL,Expansion,Completed,10/15/08,2008,ND,Central, 8 , 1 , 11 ,8,Interstate,FERC,CP08-89
Cheyenne Plains Kirk Compressor Station,Cheyenne Plains Pipeline Co,Expansion,Completed,8/15/08,2008,"CO,KS",Central, 20 ,, 90 ,36,Interstate,FERC,CP07-128
SONAT Cypress 2008 Phase 2,Southern Natural Gas Co,Expansion,Completed,4/1/08,2008,GA,Southeast, 21 ,, 100 ,,Interstate,FERC,CP05-388
TGT Fayetteville Lateral Phase 1,Texas Gas Transmission,New Pipeline,Completed,12/24/08,2008,AR,Southwest, 205 , 66 , 967 ,"36,18",Interstate,FERC,CP07-417
Union Gas 2008 Expansion,Union Gas LTD,Expansion,Completed,11/15/08,2008,ON,Canada,,, 485 ,,Foreign,NEB of Canada,na
Trunkline Kaplan-to-Henry Hub (NTX) Extension,Trunkline Gas Co,Expansion,Completed,2/1/08,2008,LA,Southwest, 20 , 14 , 625 ,36,Interstate,FERC,CP06-452
MidWest 2006 Eastern Extension Project,Midwestern Gas Transmission Co,Expansion,Completed,4/15/08,2008,TN,Southeast, 26 , 31 , 120 ,16,Interstate,FERC,CP05-372
Questar Greesewood/Meeker Expansion,Questar Pipeline,Expansion,Completed,1/15/08,2008,"UT,CO",Central, 12 ,, 75 ,24,Interstate,FERC,na
Algonquin Ramapo Expansion,Algonquin Gas Transmission,Lateral,Completed,11/1/08,2008,"NJ,CT",Northeast, 192 , 5 , 325 ,42,Interstate,FERC,CP06-76
Bobcat Storage Lateral,Port Barre Investments LLC,Lateral,Completed,10/15/08,2008,LA,Southwest, 30 , 20 ," 1,200 ","20,16,12",Interstate,FERC,CP06-66/67/68
Gulfstream Bayside Lateral,Tampa Electric Co,Lateral,Completed,12/1/08,2008,FL,Southeast, 30 , 28 , 200 ,24,Intrastate,State,na
Tuscarora 2008 Sys Expansion,Tuscarora Pipeline Co,Lateral,Completed,4/1/08,2008,"NV,CA",Western, 17 , 0 , 40 ,,Interstate,FERC,CP07-27
TETCO TIME II Expansion Phase 2,Texas Eastern Transmission,Expansion,Completed,11/1/08,2008,"OH,WV,PA,NJ",Northeast, 54 , 10 , 150 ,36,Interstate,FERC,CP06-115
Maritimes & Northeast Phase IV LNG Expansion,Maritimes & Northeast Pipeline,Expansion,Completed,12/15/08,2008,"NB,MA","Canada,Northeast", 321 , 2 , 420 ,30,Interstate,FERC,CP06-335
TW San Juan Lateral Expansion,Transwestern Pipeline Co,Expansion,Completed,7/22/08,2008,NM,Southwest, 107 , 25 , 375 ,36,Interstate,FERC,CP06-459
Tuscola East Replacement Project,Panhandle Eastern Pipeline Co,Expansion,Completed,4/1/08,2008,"IN,OH",Midwest, 56 , 31 , 500 ,30,Interstate,FERC,CP06-428
Ozark Standing Rock Compressor,Ozark Gas Transmission Co,Expansion,Completed,11/15/08,2008,AR,Southwest, 19 ,, 100 ,,Interstate,FERC,CP08-20
MarkWest Lea County Expansion,MarkWest New Mexico LP,Expansion,Completed,9/15/08,2008,NM,Southwest, 3 , 3 , 110 ,16,Interstate,FERC,CP08-01
TETCO Cedar Bayou Lateral Project,Texas Eastern Transmission,Lateral,Completed,5/28/08,2008,TX,Southwest, 17 , 4 , 360 ,20,Interstate,FERC,CP07-411
Trunkline Field Zone Expansion II,Trunkline Gas Co,Expansion,Completed,11/15/08,2008,TX,Southwest, 23 , 7 , 95 ,36,Interstate,FERC,CP08-99
Jamestown Pipeline,MichCon Energy Co,Expansion,Completed,9/1/08,2008,MI,Midwest, 80 , 16 , 120 ,30,Intrastate,State,na
Transco Sentinel Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Completed,12/15/08,2008,"PA,NJ",Northeast, 33 , 4 , 40 ,42,Interstate,FERC,CP08-31
NNG West Leg II Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/08,2008,NE,Central, 9 , 12 , 11 ,"30,8",Interstate,FERC,CP08-97
Cameron Interstate Pipeline,Sempra Energy Inc,Expansion,Completed,9/1/08,2008,LA,Southwest, 115 , 36 ," 2,350 ",42,Interstate,FERC,CP05-119
Southeast Supply Header Pipeline,Southeast Supply Header LLC,New Pipeline,Completed,10/5/08,2008,"LA,AL","Southwest,Southeast", 842 , 270 ," 1,140 ","42,36",Interstate,FERC,CP07-44
South Texas Flashing/Tilden Expansion,Regency Intrastate Pipeline Co,New Pipeline,Completed,9/30/08,2008,TX,Southwest, 30 , 20 , 50 ,10,Intrastate,State,na
Southern Pines Destin Line,SGR Holding Corporation,New Pipeline,Completed,11/15/08,2008,MS,Southeast, 6 , 3 ," 1,000 ",24,Interstate,FERC,CP02-229
TCPL 2008 Chippawa Expansion (Empire),TransCanada Pipeline LTD,Expansion,Completed,11/1/08,2008,"ON,NY","Canada,Northeast", 30 ,, 130 ,,Interstate,NEB of Canada,na
Southern Pines Florida/Transco Line,SGR Holding Corporation,New Pipeline,Completed,11/15/08,2008,"MS,AL",Southeast, 52 , 26 ," 1,000 ",24,Interstate,FERC,CP02-229
TCPL 2008 Eastern Service Expansion,TransCanada Pipeline LTD,Expansion,Completed,11/1/08,2008,"QU,VT","Canada,Northeast", 15 , 4 , 10 ,12,Interstate,NEB of Canada,na
White River Header Pipeline,Questar Pipeline,Expansion,Completed,11/15/08,2008,CO,Central, 58 , 6 ," 2,565 ",30,Interstate,FERC,CP08-398
PE Liberal 100-line Bi-directional Project,Panhandle Eastern Pipeline Co,Expansion,Completed,1/1/07,2007,KS,Central, 5 ,, 160 ,24,Interstate,FERC,CP06-50
Rendezvous Black Fork Lateral,Rendezvous Gas Services,Lateral,Completed,2/8/07,2007,WY,Central, 11 , 21 , 330 ,20,Interstate,FERC,CP05-40
WIG Kanda Lateral Phase 1,Wyoming Interstate Gas Co,Expansion,Completed,12/1/07,2007,"UT,WY",Central, 61 , 52 , 406 ,24,Interstate,FERC,CP07-14
KB Pipeline Expansion,KB Pipeline Co,Lateral,Completed,5/1/07,2007,OR,Western, 1 , 0 ,,20,Interstate,FERC,CP01-421
SONAT North Main Loop Replacement,Southern Natural Gas Co,Expansion,Completed,9/17/07,2007,AL,Southeast, 10 , 10 ,,,Interstate,FERC,CP07-28
CrossTex LIG Extension,Crosstex Energy Services,Expansion,Completed,4/1/07,2007,LA,Southwest, 90 , 74 , 200 ,"24,16",Intrastate,State,na
TransColorado Blanco-to-Meeker Expansion,TransColorado Pipeline,Expansion,Completed,12/31/07,2007,"NM,CO","Southwest,Central", 58 , 0 , 250 ,"24,16",Interstate,FERC,CP06-401
ET Barnett-Texoma Expansion Phase 3,Energy Transfer Co,Expansion,Completed,4/1/07,2007,TX,Southwest, 360 , 135 , 700 ,42,Intrastate,State,na
Pine Prairie Storage Laterals,Pine Prairie Storage Co,Lateral,Completed,12/4/07,2007,LA,Southwest, 75 , 43 , 600 ,24,Interstate,FERC,CP04-379
WIG Kanda Lateral Phase 2,Wyoming Interstate Gas Co,Expansion,Completed,12/26/07,2007,"UT,WY",Central, 60 , 72 ,,24,Interstate,FERC,CP07-14
Sabine Henry Hub Expansion,Sabine Pipeline LLC,Lateral,Completed,9/30/07,2007,"TX,LA",Southwest, 16 ,, 50 ,,Interstate,FERC,EM06-05
Transco Leidy to Long Island Expansion,Transcontinental Gas Pipeline,Expansion,Completed,12/13/07,2007,"PA,NJ,NY",Northeast, 162 , 15 , 100 ,,Interstate,FERC,CP06-34
CrossTex North Texas 2007 Expansion,Crosstex Energy Services,Expansion,Completed,4/1/07,2007,TX,Southwest, 20 ,, 125 ,24,Intrastate,State,na
Southwest Delaware County Extension,Columbia Gas of Ohio,Expansion,Completed,12/1/07,2007,OH,Northeast,13.5,10,100, 16 , Intrastate ,State,na
FGT Phase VII Phase 1,Florida Gas Trans Co,Lateral,Completed,12/22/07,2007,FL,Southeast,63.5,17.3,95, 36 , Interstate ,FERC,CP06-01
Questar Southern System Expansion to Goshen,Questar Pipeline,Expansion,Completed,11/1/07,2007,UT,Central,107.7,59,175, 24 , Interstate ,FERC,CP07-25
CEGT Perryville Expansion Phase I & 2,Centerpoint Energy Gas Transmission,New Pipeline,Completed,2/5/08,2007,"TX,LA",Southwest,425,172,1237, 42 , Interstate ,FERC,CP06-85
CIG Raton Basin 2007 Expansion,Colorado Interstate Gas Co,Expansion,Completed,9/21/07,2007,"CO,KS,OK","Central,Southwest",11.89,11,29,, Interstate ,FERC,CP07-103
Algonquin Cape Cod Lateral,Algonquin Gas Transmission,Lateral,Completed,12/1/07,2007,MA,Northeast,15,3.8,38, 18 , Interstate ,FERC,CP06-143
North LA Growth Project,Regency Intrastate Pipeline Co,Expansion,Completed,6/1/07,2007,LA,Southwest,17,,200,, Intrastate ,State,na
Bossier Loop Phase 2,Regency Intrastate Pipeline Co,Expansion,Completed,3/1/07,2007,LA,Southwest,5,,100,, Intrastate ,State,na
TETCO TIME II Expansion Phase 1,Texas Eastern Transmission,Expansion,Completed,11/30/07,2007,"PA,WV,NJ",Northeast,116.7,21.64,150, 36 , Interstate ,FERC,CP06-115
CGT Hardy Storage Lateral,Columbia Gas Transmission,Lateral,Completed,3/1/07,2007,WV,Northeast,48.6,13,175, 20 , Interstate ,FERC,CP05-150
SONAT Cypress 2007 Phase 1,Southern Natural Gas Co,New Pipeline,Completed,5/1/07,2007,"GA,FL",Southeast,240,167,335, 24 , Interstate ,FERC,CP05-388
CGT Hardy Storage Pipeline Expansion,Columbia Gas Transmission,Lateral,Completed,4/1/07,2007,"VA,MD",Northeast,55,33.5,175, 24 , Interstate ,FERC,CP05-144/PF04-14
Enbridge Marquez Plant Line,Enbridge Energy Pipeline Co,Lateral,Completed,3/31/07,2007,TX,Southwest,65,56,250, 24 , Intrastate ,State,na
Transco Potomac Expansion,Transcontinental Gas Pipeline,Expansion,Completed,11/9/07,2007,"NC,MD","Southeast,Northeast",76.4,19.37,165," 42,30 ", Interstate ,FERC,CP06-421
Wamsutter Expansion Project,Questar Overthrust Pipeline Co,Expansion,Completed,12/1/07,2007,WY,Central,202.3,77,750, 36 , Interstate ,FERC,CP06-423
Algonquin Northeast Gateway LNG,Algonquin Gas Transmission,Expansion,Completed,12/15/07,2007,MA,Northeast,179.7,16.4,800, 24 , Interstate ,FERC,CP05-383
WB Grasslands Expansion II,Williston Basin Interstate PL,Expansion,Completed,12/1/07,2007,"MT,ND",Central,6,,41,, Interstate ,FERC,CP07-131
KM Chicago Pipeline,Kinder Morgan Illinois PL Co,New Pipeline,Completed,12/20/07,2007,IL,Midwest,13.3,3.1,360, 24 , Interstate ,FERC,CP06-455
Union Gas 2007 Expansion,Union Gas LTD,Expansion,Completed,11/1/07,2007,ON,Canada,80,11,488,, Foreign ,NEB of Canada,na
DTE Shelby Pipeline,DTE Energy Inc,New Pipeline,Completed,12/3/07,2007,MI,Midwest,5.1,4.5,100, 20 , Intrastate ,State,MSPC U-15149
NGPL North Lansing Loop,Nat Gas P L Co of America,Lateral,Completed,8/15/07,2007,TX,Southwest,9.84,8.7,140, 30 , Interstate ,FERC,CP05-405
Paiute 2007 Expansion,Paiute Pipeline,Expansion,Completed,11/1/07,2007,NV,Western,5.27,4.3,8.9, 20 , Interstate ,FERC,na
NWPL Parachute Expansion,Northwest Pipeline Co,Expansion,Completed,5/15/07,2007,CO,Central,57.8,38,450, 30 , Interstate ,FERC,CP06-45
North Baja Pipeline Expansion Phase I,North Baja Pipeline LLC,Expansion,Completed,3/15/08,2007,"MX,CA,AZ","Mexico,Western",4,2,614," 48,42 ", Interstate ,FERC,CP06-61
Falcon Worsham-Steed Storage Pipeline,NorTex Gas Storage LLC,New Pipeline,Completed,10/1/07,2007,TX,Southwest,60,63,450, 24 , Intrastate ,State,na
NNG Palmyra North Expansion,Northern Natural Gas Co,Expansion,Completed,10/31/07,2007,"KS,SD,NE,IA",Central,8.98,6,44.2,, Interstate ,FERC,CP06-433
Odessa-Ector Power Pipeline,Aspen Pipeline LP,Lateral,Completed,1/1/07,2007,TX,Southwest,90,65,30, 20 , Intrastate ,State,na
NNG Northern Lights Project,Northern Natural Gas Co,Expansion,Completed,10/31/07,2007,"IA,MN",Central,129.2,79,374.23," 36,26,16 ", Interstate ,FERC,CP06-403
KM Rockies Express (Entrega) Phase 2,Rockies Express Pipeline,Expansion,Completed,12/31/07,2007,"CO,WY",Central,160,,750,, Interstate ,FERC,CP04-413
Vector 2007 Phase 1 Expansion,Vector Pipeline,Expansion,Completed,11/13/07,2007,"IL,IN,MI,ON","Midwest,Canada",70.4,,245, 42 , Interstate ,FERC,CP06-29
Tenneco Triple-T Extension,Tennessee Gas Pipeline Co,Expansion,Completed,9/14/07,2007,GM,Gulf of Mexico,22,6.23,200, 24 , Interstate ,FERC,CP05-416
CEGT Harrison Supply Lateral Expansion,Centerpoint Energy Gas Transmission,Lateral,Completed,3/15/07,2007,TX,Southwest,12.7,14.4,60, 16 , Interstate ,FERC,EM06-05
SSTAR Waynoka Lateral,Southern Star Central PL Co,Lateral,Completed,9/1/07,2007,OK,Southwest,11.2,14.5,175, 20 , Interstate ,FERC,na
Line 57C Lateral,Pacific Gas and Electric Co,Lateral,Completed,11/1/07,2007,CA,Western,30,6.4,100, 24 , Intrastate ,State,na
CEGT Elm Grove Supply Expansion,Centerpoint Energy Gas Transmission,Expansion,Completed,2/15/07,2007,LA,Southwest,18.08,17.5,140, 12 , Interstate ,FERC,CP06-168
