Number,Name,Expiration,Issued,Status,Capacity,Company,Waterway,State
7076,DALLES DAM NORTH FISHWAY           ,11/30/37,12/31/87,Active,4900,NORTHERN WASCO COUNTY P U D    (OR),COLUMBIA RIVER                     ,WA
5223,INTERNATIONAL FALLS                ,11/30/27,12/31/87,Active,14450,INTERNATIONAL FALLS POWER      (OR),RAINY RIVER                        ,MN
2335,WILLIAMS                           ,12/31/17,1/22/88,Active,13000,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",KENNEBEC RIVER                     ,ME
2531,WEST BUXTON                        ,12/31/17,1/29/88,Active,7812,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",SACO RIVER                         ,ME
5251,LEE CREEK                          ,2/28/38,3/24/88,Active,1500,FORT SMITH CITY OF             (AR),LEE CREEK                          ,OK
1966,GRANDFATHER FALLS                  ,3/31/18,4/14/88,Active,17240,WISCONSIN PUBLIC SERVICE CORP  (WI),WISCONSIN RIVER                    ,WI
10198,PELICAN                            ,9/16/26,4/27/88,Active,700,"CITY OF PELICAN, AK                ",PELICAN CREEK                      ,AK
3863,LOST CREEK HYDROELECTRIC NO 1      ,4/30/38,5/18/88,Active,1100,SNOW MOUNTAIN HYDRO LLC            ,LOST CREEK                         ,CA
9260,SISSONVILLE                        ,4/30/28,5/20/88,Active,2300,SISSONVILLE LIMITED PARTNERSHIP    ,RAQUETTE RIVER                     ,NY
8632,KANKAKEE                           ,4/30/28,5/27/88,Active,1200,KANKAKEE CITY OF               (IL),KANKAKEE RIVER                     ,IL
8377,ISABELLA                           ,4/30/38,5/31/88,Active,11950,ISABELLA PARTNERS              (CA),KERN RIVER                         ,CA
4031,STARVED ROCK                       ,5/31/38,6/24/88,Active,7600,PERU CITY OF                   (IL),ILLINOIS RIVER                     ,IL
6641,SMITHLAND LOCK AND DAM             ,5/31/38,6/30/88,Active,72000,"AMERICAN MUNICIPAL POWER, INC      ",OHIO RIVER                         ,KY
10441,MAROON CREEK                       ,6/30/28,7/20/88,Active,450,CITY OF ASPEN       (CO)           ,MAROON CREEK                       ,CO
6221,BLACK CREEK                        ,6/30/38,7/29/88,Active,3700,BLACK CREEK HYDRO INC.         (WA),BLACK CREEK                        ,WA
2307,SALMON CREEK                       ,8/31/18,8/31/88,Active,10300,ALASKA ELECTRIC LIGHT&POWER CO (AK),LOWER SALMON CREEK                 ,AK
10489,RIVER FALLS                        ,8/31/23,9/27/88,Active,375,RIVER FALLS CITY OF            (WI),KINNICKINNIC RIVER                 ,WI
6780,DEADWOOD CREEK                     ,8/31/38,9/28/88,Active,1963,"HYDRO SIERRA ENERGY, LLC           ",DEADWOOD CREEK                     ,CA
2388,HOLYOKE NO 3                       ,2/20/19,9/28/88,Active,450,HOLYOKE CITY OF                (MA),HOLYOKE CANAL                      ,MA
2387,HOLYOKE N0 2                       ,8/31/18,9/28/88,Active,800,HOLYOKE CITY OF                (MA),HOLYOKE CANAL                      ,MA
2520,MATTACEUNK                         ,8/31/18,9/30/88,Active,19200,GREAT LAKES HYDRO AMERICA. LLC.    ,PENOBSCOT RIVER                    ,ME
2973,ISLAND PARK                        ,9/30/38,10/19/88,Active,4800,FALL RIVER RURAL ELEC COOP INC (ID),HENRY'S FORK OF SNAKE RIVER        ,ID
8889,HUMPBACK CREEK                     ,9/30/38,10/21/88,Active,1250,CORDOVA ELECTRIC COOP INC      (AK),HUMPBACK CREEK                     ,AK
2756,CHACE MILL                         ,10/31/28,11/3/88,Active,7455,"CITY OF BURLINGTON, VERMONT        ",WINOOSKI RIVER                     ,VT
2899,MILNER                             ,11/30/38,12/15/88,Active,59448,IDAHO POWER CO                 (ID),TWIN FALLS MAIN CANAL/SNAKE RIVER  ,ID
1250,AZUSA                              ,12/31/18,1/5/89,Active,3000,PASADENA CITY OF               (CA),SAN  GABRIEL RIVER                 ,CA
943,ROCK ISLAND                        ,12/31/28,1/18/89,Active,421255,PUD NO 1 OF CHELAN COUNTY      (WA),COLUMBIA RIVER                     ,WA
2484,GRESHAM                            ,12/31/15,1/24/89,Expired,275,GRESHAM VILLAGE OF             (WI),RED RIVER                          ,WI
1510,KAUKAUNA                           ,3/31/19,1/30/89,Active,4800,KAUKAUNA CITY OF               (WI),FOX RIVER                          ,WI
848,TROUT CREEK                        ,12/31/18,1/30/89,Active,125,WELLS RURAL ELECTRIC CO        (NV),TROUT CREEK                        ,NV
2337,PROSPECT NO 3                      ,12/31/18,1/30/89,Active,7200,PACIFICORP                     (OR),SOUTH FORK ROGUE RIVER             ,OR
10505,GRAEAGLE GOLF COURSE               ,1/31/39,2/23/89,Active,90,GRAEAGLE LAND & WATER CO       (CA),FRAZIER CREEK                      ,CA
190,UINTAH                             ,1/31/19,2/24/89,Active,1200,MOON LAKE ELECTRIC ASSN INC    (UT),UINTAH RIVER                       ,UT
2386,HOLYOKE NO 1                       ,1/31/19,2/28/89,Active,1056,HOLYOKE CITY OF                (MA),HOLYOKE CANAL                      ,MA
4656,ARROWROCK DAM                      ,2/28/39,3/27/89,Active,15000,BIG BEND IRRIGATION DISTRICT   (OR),S FK  BOISE R                      ,ID
9194,LITTLE FALLS                       ,2/28/29,3/31/89,Active,2400,PASSAIC VALLEY WATER COMM      (NJ),PASSAIC RIVER                      ,NJ
9482,WISCONSIN NOBLE                    ,3/31/39,4/21/89,Active,500,WISCONSIN CREEK LTD PARTNERS   (MT),WISCONSIN CREEK                    ,MT
9967,SHOSHONE                           ,4/30/39,5/25/89,Active,945,SHOROCK HYDRO INC              (ID),LITTLE WOOD RIVER                  ,ID
9885,FALLS RIVER                        ,4/30/29,5/25/89,Active,9100,MARYSVILLE HYDRO PARTNERS      (ID),FALLS RIVER                        ,ID
1235,RADFORD                            ,5/30/19,5/31/89,Active,1185,RADFORD CITY OF                (VA),LITTLE RIVER                       ,VA
2771,NONOTUCK MILL                      ,2/28/21,6/29/89,Active,500,CITY OF HOLYOKE GAS & ELECTRIC DEPT,HOLYOKE CANAL                      ,MA
2768,ALBION MILL (A WHEEL)              ,2/28/21,6/29/89,Active,312,CITY OF HOLYOKE GAS & ELECTRIC DEPT,HOLYOKE CANAL                      ,MA
2528,CATARACT                           ,11/30/29,6/29/89,Active,6650,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",SACO RIVER                         ,ME
2766,ALBION MILL (D WHEEL)              ,2/28/21,6/29/89,Active,500,CITY OF HOLYOKE GAS & ELECTRIC DEPT,HOLYOKE CANAL                      ,MA
5264,STONE CREEK                        ,8/31/39,9/15/89,Active,12000,CITY OF EUGENE                     ,STONE CREEK                        ,OR
6939,BELLEVILLE                         ,8/31/39,9/27/89,Active,42000,"AMERICAN MUNICIPAL POWER, INC      ",OHIO RIVER                         ,WV
6902,WILLOW ISLAND L & D                ,8/31/39,9/27/89,Active,35000,"AMERICAN MUNICIPAL POWER, INC      ",OHIO RIVER                         ,WV
1957,OTTER RAPIDS                       ,6/30/30,10/24/89,Active,700,WISCONSIN PUBLIC SERVICE CORP  (WI),WISCONSIN RIVER                    ,WI
10468,MARSH VALLEY                       ,11/30/39,12/1/89,Active,1650,MARSH VALLEY DEVELOPMENT INC.  (ID),PORTNEUF RIVER                     ,ID
2610,SAXON FALLS                        ,12/31/24,12/22/89,Active,1250,NORTHERN STATES POWER CO       (WI),MONTREAL RIVER                     ,MI
10773,BURNETT RIVER HATCHERY             ,12/31/39,1/31/90,Active,80,SOUTHERN  SOUTHEAST REGIONAL AGRICU,BURNETT RIVER                      ,AK
10821,CAMP FAR WEST T. L.                ,6/30/21,4/19/90,Active,0,PACIFIC GAS AND ELECTRIC CO      (C,,CA
10888,KOMA KULSHAN T. L.                 ,3/31/37,4/25/90,Active,0,"PUGET SOUND ENERGY, INC.(WA)       ",ROCKY CREEK                        ,WA
8722,LANDIS-HARDE                       ,3/31/40,4/27/90,Active,100,HARDE DAVID O                      ,PERRY CREEK                        ,CA
1432,DRY SPRUCE BAY                     ,5/31/20,6/11/90,Active,75,"PB ENERGY, INC.                    ",DRY SPRUCE BAY                     ,AK
10800,ROSS CREEK                         ,5/31/40,6/19/90,Active,450,ROSS CREEK HYDRO L.C.          (ID),ROSS CREEK                         ,MT
1744,WEBER                              ,5/31/20,6/28/90,Active,3850,PACIFICORP                     (OR),WEBER RIVER                        ,UT
10806,STATION NO.5                       ,5/31/30,6/29/90,Active,790,CITY OF HOLYOKE GAS & ELECTRIC DEPT,CONNECTICUT RIVER                  ,MA
10502,LOWER BOULDER CREEK                ,5/31/40,6/29/90,Active,700,"GARKANE ENERGY COOPERATIVE, INC.   ",BOULDER CREEK                      ,UT
2622,TURNERS FALLS                      ,2/28/21,6/29/90,Active,937,"TURNERS FALLS HYDRO, LLC           ",CONNECTICUT CANAL                  ,MA
10102,SPRINGER HYDRO NO. 1               ,8/31/23,6/29/90,Active,45,SPRINGER FRANKLIN                  ,MCFADDEN & MORRISON CREEKS         ,CO
9340,KEZAR FALLS LOWER                  ,9/30/30,10/24/90,Active,1000,"KEZAR FALLS HYDRO, LLC.            ",OSSIPEE RIVER                      ,ME
18,TWIN FALLS                         ,12/31/40,1/18/91,Active,42217,IDAHO POWER CO                 (ID),SNAKE RIVER                        ,ID
10021,BEAVER                             ,12/31/40,1/22/91,Active,650,BEAVER CITY CORP               (UT),BEAVER RIVER                       ,UT
10882,THREE FORKS                        ,12/31/40,1/28/91,Active,1300,BURGESS NORMAN & MARY              ,ROCK CREEK                         ,CA
11006,UPPER ANDROSCOGGIN                 ,8/31/26,2/26/91,Active,1695,LEWISTON CITY OF               (ME),ANDROSCOGGIN RIVER                 ,ME
10624,FRENCH PAPER                       ,2/28/21,2/28/91,Active,1300,FRENCH PAPER CO                (MI),ST. JOSEPH RIVER                   ,MI
6731,CONEROSS                           ,2/28/21,3/28/91,Active,889,AQUENERGY SYSTEMS INC          (SC),CONEROSS CREEK                     ,SC
10898,SWEETWATER                         ,2/28/31,3/28/91,Active,900,"SWEETWATER HYDROELECTRIC, LLC      ",SUGAR RIVER                        ,NH
10934,SUGAR RIVER II                     ,4/30/21,5/9/91,Active,200,RUGER JR WILLIAM B                 ,SUGAR RIVER                        ,NH
11068,FISHWATER RELEASE                  ,8/31/32,5/16/91,Active,2310,ORANGE COVE IRRIGATION DIST    (CA),BOR FRIANT DAM ON SAN JOAQUIN RIVER,CA
10896,PINNACLES                          ,4/30/31,5/28/91,Active,10670,CITY OF DANVILLE                (VA,DAN RIVER                          ,VA
10228,CANNELTON                          ,5/31/41,6/21/91,Active,84000,"AMERICAN MUNICIPAL POWER, INC      ",OHIO RIVER                         ,KY
3701,TIETON DAM                         ,5/31/41,6/27/91,Active,13600,SOUTHERN CALIFORNIA PUBLIC PWR AUTH,TIETON RIVER                       ,WA
663,RIO BLANCO                         ,8/19/21,8/20/91,Active,5000,PUERTO RICO ELECTRIC PWR AUTH  (PR),RIO BLANCO                         ,PR
10674,KIMBERLY                           ,9/30/21,9/27/91,Active,2013,KAUKAUNA UTILITIES                 ,FOX RIVER                          ,WI
10204,MCNARY DAM FISH ATTRACTION         ,8/31/41,9/30/91,Active,9690,NORTHERN WASCO COUNTY P U D    (OR),COLUMBIA RIVER                     ,WA
1953,DuBAY                              ,6/30/26,10/24/91,Active,7200,CONSOLIDATED WATER POWER CO    (WI),WISCONSIN RIVER                    ,WI
10887,CARTHAGE PAPER MAKERS MILL         ,10/31/21,11/22/91,Active,800,CLIMAX MANUFACTURING CO        (NY),BLACK RIVER                        ,NY
10551,HIGH DAM                           ,10/31/31,11/22/91,Active,10192,"OSWEGO, CITY OF (NY)               ",OSWEGO RIVER                       ,NY
2368,SQUA PAN                           ,12/3/21,12/4/91,Active,1500,ALGONQUIN NORTHERN MAINE GEN.CO.   ,SQUA PAN STREAM                    ,ME
10853,OTTER TAIL RIVER                   ,11/30/21,12/5/91,Active,3450,OTTER TAIL POWER CO            (MN),OTTER TAIL RIVER                   ,MN
10522,WHITTELSEY DAM                     ,11/30/31,12/24/91,Active,420,MALONE'S NEXT GEN LLC.             ,SALMON RIVER                       ,NY
298,KAWEAH                             ,12/31/21,1/31/92,Active,6850,SOUTHERN CALIFORNIA EDISON CO  (CA),"KAWEAH R.(EAST,MARBLE & MIDDLE FKS.",CA
9222,YALEVILLE                          ,1/31/22,2/10/92,Active,700,"ERIE BOULEVARD HYDROPOWER, L.P.    ",RAQUETTE RIVER                     ,NY
9840,APPOMATTOX RIVER                   ,1/31/32,2/10/92,Active,2850,APPOMATTOX RIVER ASSOCIATES L. P.  ,APPOMATTOX R                       ,VA
11197,COLLIERVILLE & SPICER MEADOW T. L. ,1/31/32,2/12/92,Active,0,NORTHERN CALIFORNIA POWER AGNY (CA),,CA
11143,GLEN FALLS                         ,2/29/32,3/2/92,Active,250,"GLENN FALLS HYDRO, LLC.            ",MOOSUP RIVER                       ,CT
10721,BIG CREEK                          ,2/28/22,3/27/92,Active,22,BIG CREEK LODGE & OUTFITTERS INC ID,MCCORKLE CREEK                     ,ID
2221,OZARK BEACH                        ,2/28/22,3/31/92,Active,16000,EMPIRE DISTRICT ELECTRIC CO    (MO),WHITE RIVER                        ,MO
10481,MONGAUP FALLS                      ,3/31/22,4/14/92,Active,4000,"EAGLE CREEK HYDRO POWER, LLC       ",MONGAUP RIVER                      ,NY
10482,SWINGING BRIDGE                    ,3/31/22,4/14/92,Active,11750,"EAGLE CREEK HYDRO POWER, LLC       ",MONGAUP RIVER                      ,NY
9690,RIO                                ,3/31/22,4/14/92,Active,10000,"EAGLE CREEK HYDRO POWER, LLC       ",MONGAUP RIVER                      ,NY
1494,PENSACOLA                          ,3/31/22,4/24/92,Active,105176,GRAND RIVER DAM AUTHORITY      (OK),GRAND(NEOSHO) RIVER                ,OK
10359,YOUNGS CREEK                       ,4/30/42,5/5/92,Active,7500,PUD NO 1 OF SNOHOMISH COUNTY   (WA),YOUNGS CREEK                       ,WA
2423,RIVERSIDE                          ,12/31/33,5/12/92,Active,7900,GREAT LAKES HYDRO AMERICA. LLC.    ,ANDROSCOGGIN RIVER                 ,NH
539,MOTHER ANN LEE                     ,4/30/22,5/26/92,Active,2209,"LOCK 7 HYDRO PARTNERS, LLC.        ",KENTUCKY RIVER                     ,KY
11168,DAYVILLE POND                      ,5/31/32,6/29/92,Active,100,SUMMIT HYDROPOWER              (CT),FIVE MILE RIVER                    ,CT
11169,AVALON DAM                         ,6/30/32,7/28/92,Active,1275,"AVALON HYDRO, LLC                  ",MAYO RIVER                         ,NC
10552,MILE 28                            ,7/31/42,8/12/92,Active,1500,CONTRACTORS POWER GROUP INC    (ID),MILNER-GOODING CANAL               ,ID
10813,SUMMERSVILLE                       ,9/1/42,9/25/92,Active,80000,SUMMERSVILLE CITY OF           (WV),GAULEY RIVER                       ,WV
2641,FEEDER DAM T. L.                   ,12/31/23,9/29/92,Active,0,"ERIE BOULEVARD HYDROPOWER, L.P.    ",,NY
1061,PHOENIX                            ,8/31/22,9/30/92,Active,1800,PACIFIC GAS AND ELECTRIC CO      (C,SOUTH FORK STANISLAUS RIVER        ,CA
1773,YELLOWSTONE                        ,9/30/22,10/15/92,Active,900,MOON LAKE ELECTRIC ASSN INC    (UT),YELLOWSTONE RIVER                  ,UT
11217,STILL RIVER                        ,10/31/32,11/18/92,Active,37,"MACKOWIAK, RICHARD G.              ",STILL RIVER                        ,CT
5461,SOUTH GLENS FALLS                  ,11/30/42,12/2/92,Active,15700,NIAGARA MOHAWK POWER CORP      (NY),HUDSON RIVER                       ,NY
5276,HUDSON FALLS                       ,11/30/42,12/2/92,Active,44000,NIAGARA MOHAWK POWER CORP      (NY),HUDSON RIVER                       ,NY
1403,NARROWS                            ,1/31/23,2/11/93,Active,12000,PACIFIC GAS AND ELECTRIC CO      (C,YUBA RIVER                         ,CA
2362,GRAND RAPIDS                       ,1/31/23,2/26/93,Active,2100,"ALLETE, INC                        ",MISSISSIPPI RIVER                  ,MN
2533,BRAINERD                           ,2/28/23,3/2/93,Active,3160,"CITY OF BRAINERD, PUB UTILITIES COM",MISSISSIPPI RIVER                  ,MN
11219,MAYO                               ,2/28/33,3/2/93,Active,952,"MAYO HYDROPOWER, LLC               ",MAYO RIVER                         ,NC
2336,LLOYD SHOALS                       ,12/31/23,3/22/93,Active,18000,GEORGIA POWER CO               (GA),OCMULGEE RIVER                     ,GA
1858,BEAVER CITY                        ,7/31/23,3/26/93,Active,625,BEAVER CITY CORP               (UT),BEAVER RIVER                       ,UT
2441,GREENVILLE/TENTH STREET            ,12/31/43,3/31/93,Active,2200,NORWICH CITY OF                (CT),SHETUCKET RIVER                    ,CT
2445,CENTER RUTLAND                     ,12/31/23,3/31/93,Active,275,GREEN MOUNTAIN POWER CORP      (VT),OTTER CREEK                        ,VT
2509,SHENANDOAH                         ,12/31/23,4/9/93,Active,862,"PE HYDRO GENERATION, LLC.          ",SOUTH FORK SHENANDOH RIVER         ,VA
2391,WARREN                             ,12/31/23,4/12/93,Active,750,"PE HYDRO GENERATION, LLC.          ",SHENANDOAH  RIVER                  ,VA
2341,LANGDALE                           ,12/31/23,5/24/93,Active,1040,GEORGIA POWER CO               (GA),CHATTAHOCHEE RIVER                 ,GA
2350,RIVERVIEW                          ,12/31/23,5/24/93,Active,480,GEORGIA POWER CO               (GA),CHATTAHOOCHEE RIVER                ,GA
6032,MECHANICVILLE                      ,5/31/43,6/9/93,Active,4500,ALBANY ENGINEERING CORP            ,HUDSON RIVER                       ,NY
2425,LURAY AND NEWPORT                  ,12/31/23,6/9/93,Active,3000,"PE HYDRO GENERATION, LLC.          ",SOUTH FORK OF THE SHENANDOAH RIVER ,VA
2361,PRAIRIE RIVER                      ,12/31/23,9/30/93,Active,1084,"ALLETE, INC                        ",PRAIRIE RIVER                      ,MN
2373,ROCKTON                            ,12/31/23,9/30/93,Active,1100,"MIDWEST HYDRO, LLC                 ",ROCK RIVER                         ,IL
10661,CONSTANTINE                        ,9/30/23,10/20/93,Active,1200,INDIANA MICHIGAN POWER CO      (IN),ST. JOSEPH RIVER                   ,MI
2532,LITTLE FALLS                       ,12/31/23,10/27/93,Active,4720,"ALLETE, INC                        ",MISSISSIPPI RIVER                  ,MN
2454,SYLVAN                             ,12/31/23,10/29/93,Active,1800,"ALLETE, INC                        ",GULL RIVER                         ,MN
10440,BLACK BEAR LAKE                    ,10/31/43,11/9/93,Active,4500,B B L HYDRO INC.               (AK),BLACK BEAR LAKE                    ,AK
11426,BLACKSTONE MILL                    ,10/31/23,11/18/93,Active,65,"KECK, T. A. AND H. S.              ",EAST MAHANTANGO CREEK              ,PA
2519,NORTH GORHAM                       ,12/31/34,11/22/93,Active,2190,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",PRESUMPSCOT R                      ,ME
2544,MEYERS FALLS                       ,12/31/23,12/10/93,Active,1200,"HYDRO TECHNOLOGY SYSTEM, INC.      ",COLVILLE RIVER                     ,WA
2367,AROOSTOOK RIVER                    ,12/31/43,12/13/93,Active,800,ALGONQUIN NORTHERN MAINE GEN.CO.   ,MILLINOCKET STREAM                 ,ME
2446,DIXON                              ,12/31/23,12/28/93,Active,3200,STS HYDROPOWER LTD             (IL),ROCK RIVER                         ,IL
1333,TULE RIVER                         ,7/31/33,12/30/93,Active,6750,PACIFIC GAS AND ELECTRIC CO      (C,TULE RIVER NORTH & MIDDLE FORKS    ,CA
10684,Moores Park                        ,12/31/23,1/5/94,Active,600,"LANSING, CITY OF               (MI)",GRAND RIVER                        ,MI
2440,CHIPPEWA FALLS                     ,12/31/33,1/14/94,Active,21600,NORTHERN STATES POWER CO       (WI),CHIPPEWA RIVER                     ,WI
2407,YATES AND THURLOW                  ,1/31/34,2/3/94,Active,125600,ALABAMA POWER CO               (AL),TALLAPOOSA RIVER                   ,AL
2376,REUSENS                            ,2/29/24,3/18/94,Active,12500,APPALACHIAN POWER CO           (VA),JAMES RIVER                        ,VA
2466,NIAGARA                            ,2/29/24,3/25/94,Active,2400,APPALACHIAN POWER CO           (VA),ROANOKE RIVER                      ,VA
2514,BYLLESBY & BUCK                    ,2/29/24,3/28/94,Active,30100,APPALACHIAN POWER CO           (VA),NEW RIVER                          ,VA
2392,GILMAN                             ,3/31/24,4/13/94,Active,4850,"AMPERSAND GILMAN HYDRO, LP         ",CONNECTICUT RIVER                  ,VT
2420,CUTLER                             ,3/31/24,4/29/94,Active,30000,PACIFICORP                     (OR),BEAR RIVER                         ,UT
2689,OCONTO FALLS                       ,4/30/24,5/11/94,Active,1810,"N.E.W. HYDRO, LLC.                 ",OCONTO RIVER                       ,WI
10615,TOWER AND KLEBER                   ,4/30/24,5/12/94,Active,1760,TOWER KLEBER LIMITED PARTNERSHIP   ,BLACK RIVER                        ,MI
2711,TREGO                              ,11/30/25,6/2/94,Active,1200,NORTHERN STATES POWER CO       (MN),NAMEKAGON RIVER                    ,WI
2348,BELOIT                             ,5/31/24,6/23/94,Active,480,"MIDWEST HYDRO, LLC                 ",ROCK RIVER                         ,WI
2561,NIANQUA                            ,6/1/24,6/30/94,Active,3000,SHO-ME POWER ELECTRIC COOP    (MO) ,NIANGUA RIVER                      ,MO
2599,HODENPYL                           ,6/30/34,7/15/94,Active,17025,CONSUMERS ENERGY CO           (MI) ,MANISTEE R                         ,MI
2580,TIPPY                              ,6/30/34,7/15/94,Active,20100,CONSUMERS ENERGY CO           (MI) ,MANISTEE RIVER                     ,MI
2453,FIVE CHANNELS                      ,6/30/34,7/15/94,Active,6000,CONSUMERS ENERGY CO           (MI) ,AUSABLE RIVER                      ,MI
2452,HARDY                              ,6/30/34,7/15/94,Active,29600,CONSUMERS ENERGY CO           (MI) ,MUSKEGON                           ,MI
2451,ROGERS                             ,6/30/34,7/15/94,Active,5418,CONSUMERS ENERGY CO           (MI) ,MUSKEGON RIVER                     ,MI
2449,LOUD                               ,6/30/34,7/15/94,Active,4000,CONSUMERS ENERGY CO           (MI) ,AUSABLE RIVER                      ,MI
2448,MIO                                ,6/30/34,7/15/94,Active,3885,CONSUMERS ENERGY CO           (MI) ,AUSABLE RIVER                      ,MI
2468,CROTON                             ,6/30/34,7/15/94,Active,7473,CONSUMERS ENERGY CO           (MI) ,MUSKEGON RIVER                     ,MI
2436,FOOTE                              ,6/30/34,7/15/94,Active,9000,CONSUMERS ENERGY CO           (MI) ,AUSABLE RIVER                      ,MI
2450,COOKE                              ,6/30/34,7/15/94,Active,9000,CONSUMERS ENERGY CO           (MI) ,AU SABLE R                         ,MI
2447,ALCONA                             ,6/30/34,7/15/94,Active,8000,CONSUMERS ENERGY CO           (MI) ,AUSABLE RIVER                      ,MI
1394,BISHOP CREEK                       ,6/30/24,7/19/94,Active,28565,SOUTHERN CALIFORNIA EDISON CO  (CA),BISHOP CR                          ,CA
2422,SAWMILL                            ,7/31/24,8/1/94,Active,3174,GREAT LAKES HYDRO AMERICA. LLC.    ,ANDROSCOGGIN RIVER                 ,NH
2288,GORHAM                             ,7/31/24,8/1/94,Active,2150,PUBLIC SERVICE CO OF NH        (NH),ANDROSCOGGIN RIVER                 ,NH
2327,CASCADE                            ,7/31/24,8/1/94,Active,7920,GREAT LAKES HYDRO AMERICA. LLC.    ,ANDROSCOGGIN R                     ,NH
2326,CROSS POWER                        ,7/31/24,8/1/94,Active,3220,GREAT LAKES HYDRO AMERICA. LLC.    ,ANDROSCOGGIN R                     ,NH
2311,GORHAM                             ,7/31/24,8/1/94,Active,4800,GREAT LAKES HYDRO AMERICA. LLC.    ,ANDROSCOGGIN RIVER                 ,NH
2300,SHELBURNE                          ,7/31/24,8/1/94,Active,3720,GREAT LAKES HYDRO AMERICA. LLC.    ,ANDROSCOGGIN RIVER                 ,NH
2287,J. BRODIE SMITH                    ,7/31/24,8/1/94,Active,15000,PUBLIC SERVICE CO OF NH        (NH),ANDROSCOGGIN R                     ,NH
2411,SCHOOLFIELD                        ,7/31/24,8/26/94,Active,4550,CITY OF DANVILLE                (VA,DAN RIVER                          ,VA
2490,TAFTSVILLE                         ,8/31/24,9/20/94,Active,500,GREEN MOUNTAIN POWER CORP      (VT),OTTAUQUECHEE RIVER                 ,VT
2347,CENTRAL                            ,8/31/24,9/28/94,Active,500,"MIDWEST HYDRO, LLC                 ",ROCK RIVER                         ,WI
2333,RUMFORD FALLS                      ,9/30/24,10/18/94,Active,44500,"RUMFORD FALLS HYDRO, LLC.          ",ANDROSCOGGIN RIVER                 ,ME
2608,WEST SPRINGFIELD                   ,9/30/34,10/24/94,Active,1400,A & D HYDRO INC                (MA),WESTFIELD RIVER                    ,MA
432,WALTERS                            ,10/31/34,11/4/94,Active,108600,"DUKE ENERGY PROGRESS, LLC.         ",PIGEON RIVER                       ,NC
2489,CAVENDISH                          ,10/31/24,11/4/94,Active,1440,GREEN MOUNTAIN POWER CORP      (VT),BLACK RIVER                        ,VT
1922,BEAVER FALLS                       ,10/31/24,11/7/94,Active,7100,KETCHIKAN CITY OF              (AK),BEAVER FALLS CR                    ,AK
2399,ARNOLD FALLS                       ,11/30/34,12/8/94,Active,350,GREEN MOUNTAIN POWER CORP      (VT),PASSUMPSIC R                       ,VT
2400,PASSUMPSIC                         ,11/30/34,12/8/94,Active,700,GREEN MOUNTAIN POWER CORP      (VT),PASSUMPSIC RIVER                   ,VT
2396,PIERCE MILLS                       ,11/30/34,12/8/94,Active,250,GREEN MOUNTAIN POWER CORP      (VT),PASSUMPSIC RIVER                   ,VT
2397,GAGE                               ,11/30/34,12/8/94,Active,700,GREEN MOUNTAIN POWER CORP      (VT),PASSUMPSIC RIVER                   ,VT
2459,LAKE LYNN                          ,11/30/24,12/27/94,Active,51200,"LAKE LYNN GENERATION, LLC.         ",MONONGAHELA RIVER                  ,WV
2587,SUPERIOR FALLS                     ,12/31/24,1/19/95,Active,1650,NORTHERN STATES POWER CO       (WI),MONTREAL RIVER                     ,WI
2513,ESSEX NO 19                        ,2/28/25,3/30/95,Active,8050,GREEN MOUNTAIN POWER CORP      (VT),WINOOSKI R                         ,VT
553,SKAGIT RIVER                       ,4/30/25,5/16/95,Active,689400,SEATTLE CITY OF                (WA),SKAGIT R                           ,WA
2442,WATERTOWN                          ,5/31/35,6/16/95,Active,7020,WATERTOWN CITY OF              (NY),BLACK RIVER                        ,NY
2506,ESCANABA                           ,6/30/35,7/13/95,Active,8985,UPPER PENINSULA POWER CO       (MI),ESCANABA R                         ,MI
2360,ST LOUIS                           ,6/30/35,7/13/95,Active,87600,"ALLETE, INC                        ",ST LOUIS R                         ,MN
2607,SPENCER MOUNTAIN                   ,6/30/25,7/13/95,Active,640,"ADVANTAGE INVESTMENT GROUP, LLC    ",SOUTH FORK CATAWBA R               ,NC
2363,CLOQUET                            ,6/30/25,7/13/95,Active,6500,"SAPPI CLOQUET, LLC.                ",ST LOUIS R                         ,MN
11264,COOLEEMEE                          ,7/31/35,8/11/95,Active,1400,"SOUTH YADKIN POWER,INC.        (NC)",SOUTH YADKIN RIVER                 ,NC
11322,COLUMBIA WATER SUPPLY              ,7/31/25,8/28/95,Active,350,TUOLUMNE UTILITIES DISTRICT    (CA),COLUMBIA DITCH                     ,CA
2444,WHITE RIVER                        ,7/31/25,8/29/95,Active,1000,NORTHERN STATES POWER CO       (WI),WHITE RIVER                        ,WI
2431,BRULE                              ,7/31/40,8/29/95,Active,5335,WISCONSIN ELECTRIC POWER CO    (WI),BRULE R                            ,WI
2402,PRICKETT                           ,7/31/35,8/29/95,Active,2200,UPPER PENINSULA POWER CO       (MI),STURGEON R                         ,MI
2417,HAYWARD                            ,11/30/25,9/1/95,Active,168,NORTHERN STATES POWER CO       (WI),NAMEKAGON R                        ,WI
11313,APTHORP                            ,9/30/35,10/17/95,Active,425,"CLARK, EDWARD M.                   ",AMMONOOSUC RIVER                   ,NH
